"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Khari Blasingame","TEN","0.6","1.1","0.0","0.3","1.8","0.0","0.0","0.7"
"","high","1.0","3.0","0.0","0.4","2.5","0.0","0.0","0.7"
"","low","0.1","0.0","0.0","0.2","1.2","0.0","0.0","0.5"
"Cullen Gillaspia","HOU","0.3","0.8","0.0","0.3","2.1","0.0","0.0","0.6"
"","high","0.3","1.5","0.0","0.4","3.0","0.0","0.0","0.8"
"","low","0.3","0.0","0.0","0.2","1.1","0.0","0.0","0.5"
"Derek Watt","PIT","0.2","0.3","0.0","0.2","1.5","0.0","0.0","0.6"
"","high","0.4","0.7","0.1","0.2","3.0","0.0","0.0","1.0"
"","low","0.0","0.0","0.0","0.2","0.4","0.0","0.0","0.3"
"Buddy Howell","HOU","0.0","1.2","0.0","0.1","0.9","0.0","0.0","0.4"
"","high","0.0","2.3","0.0","0.3","1.9","0.0","0.0","0.7"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2"
"C.J. Prosise","HOU","0.3","1.0","0.0","0.1","1.0","0.0","0.0","0.3"
"","high","0.3","1.0","0.0","0.1","1.0","0.0","0.0","0.4"
"","low","0.3","1.0","0.0","0.1","1.0","0.0","0.0","0.4"
"John Lovett","GB","0.2","0.5","0.0","0.2","0.5","0.0","0.0","0.3"
"","high","0.2","0.9","0.0","0.2","0.6","0.0","0.0","0.3"
